mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.410615873336792,0.30901046834478046,0.11281161308288574,0.017183871956247303,300,20,4,,3,balanced,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 3, 'class_weight': 'balanced'}",0.7944568452380952,0.7680431547619049,0.7317708333333335,0.6595982142857143,0.7819940476190477,0.7471726190476191,0.04856006706704429,20
3.504413032531738,0.4488744357978559,0.14827842712402345,0.04591251990615481,300,2,8,,10,balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 10, 'class_weight': 'balanced'}",0.8045014880952381,0.7671130952380952,0.7315848214285714,0.6620163690476188,0.8208705357142858,0.7572172619047619,0.056755082302867174,18
0.6045514106750488,0.013493393641548692,0.04546346664428711,0.004844864531432217,100,10,1,sqrt,10,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': 'balanced'}",0.8074776785714287,0.7544642857142857,0.7672991071428572,0.6569940476190476,0.8108258928571428,0.7594122023809524,0.05573117824108133,14
0.5317869663238526,0.014556552984834699,0.03999733924865723,0.0037652517103883287,100,2,8,sqrt,5,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.8102678571428571,0.76953125,0.7875744047619048,0.6696428571428571,0.8136160714285713,0.7701264880952381,0.05273408302283324,1
6.280612182617188,0.6235887241418993,0.1893216609954834,0.033504952144410696,500,10,1,,10,balanced,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'class_weight': 'balanced'}",0.8024553571428571,0.7526041666666666,0.7399553571428572,0.6778273809523809,0.8069196428571429,0.7559523809523809,0.04718224139505482,19
1.8428619384765625,0.2596630427751803,0.12053465843200684,0.02060916516249825,300,10,2,sqrt,5,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.8024553571428572,0.7658110119047619,0.7912946428571428,0.667782738095238,0.8072916666666666,0.7669270833333333,0.051606554996102595,4
1.2153076171875,0.11366662798235821,0.08549509048461915,0.010761377438299179,200,5,8,sqrt,10,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': 'balanced'}",0.8115699404761906,0.7602306547619048,0.7805059523809523,0.6668526785714286,0.8132440476190476,0.7664806547619047,0.05363089354252625,6
3.016629457473755,0.15665669661053538,0.11033744812011718,0.019286404875785944,300,10,4,,7,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 7, 'class_weight': 'balanced'}",0.8102678571428571,0.7734375,0.7434895833333333,0.669828869047619,0.8139880952380952,0.762202380952381,0.0529175067475097,11
3.9706557750701905,0.25484306666594525,0.16115727424621581,0.03205963583168375,500,20,2,,5,balanced,"{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 5, 'class_weight': 'balanced'}",0.8072916666666667,0.7665550595238095,0.7412574404761905,0.664248511904762,0.8074776785714285,0.7573660714285715,0.05295005876363651,17
0.751939344406128,0.07769459846472615,0.04165983200073242,0.008500514395611287,100,10,1,,5,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 5, 'class_weight': 'balanced'}",0.8126860119047619,0.7710193452380952,0.7514880952380952,0.6644345238095237,0.8098958333333334,0.761904761904762,0.053988717666845695,13
1.5931191444396973,0.051725397247924174,0.11086630821228027,0.029892909078813003,300,5,8,log2,10,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 10, 'class_weight': 'balanced'}",0.8123139880952381,0.7609747023809523,0.7784598214285714,0.6675967261904762,0.816220238095238,0.7671130952380952,0.05389725032913445,3
0.5259801864624023,0.027373365072177226,0.03217549324035644,0.003012979931823056,100,20,2,sqrt,15,balanced,"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15, 'class_weight': 'balanced'}",0.8087797619047619,0.7546502976190476,0.7866443452380952,0.6726190476190477,0.8106398809523809,0.7666666666666667,0.05117736175276757,5
0.7506416320800782,0.023338008340113854,0.03149738311767578,0.001347554941444093,100,20,2,,15,balanced,"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 15, 'class_weight': 'balanced'}",0.8149181547619048,0.7579985119047619,0.7390252976190477,0.6802455357142857,0.8048735119047619,0.7594122023809524,0.0486469463193338,14
0.8687134265899659,0.035065265972259826,0.06389827728271484,0.00933309688818119,200,10,1,log2,5,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced'}",0.7992931547619048,0.7643229166666667,0.7844122023809523,0.6635044642857142,0.7983630952380952,0.7619791666666667,0.05083724074003323,12
1.0702142715454102,0.034529836958066946,0.06882853507995605,0.011522627086492036,200,2,2,log2,10,balanced,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'class_weight': 'balanced'}",0.8020833333333334,0.7531622023809524,0.773623511904762,0.6636904761904762,0.8004092261904763,0.7585937500000001,0.05079745021112871,16
2.810319757461548,0.26813862945007894,0.18694758415222168,0.017139775258661248,500,20,8,sqrt,7,balanced,"{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 7, 'class_weight': 'balanced'}",0.810639880952381,0.7607886904761905,0.7888764880952381,0.6668526785714285,0.8121279761904762,0.7678571428571429,0.05382183025854416,2
1.250735092163086,0.12177515577044809,0.07800512313842774,0.0031739129866948865,200,20,8,log2,10,balanced,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 10, 'class_weight': 'balanced'}",0.8123139880952381,0.7578124999999999,0.783110119047619,0.6681547619047619,0.8106398809523809,0.76640625,0.053047829771638425,7
1.230269765853882,0.14792928797386382,0.07877178192138672,0.013082674957881305,200,2,4,log2,5,balanced,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced'}",0.8035714285714286,0.7686011904761906,0.7832961309523809,0.6631324404761906,0.808407738095238,0.7654017857142857,0.05309594397652972,9
0.6696630001068116,0.0860513428247638,0.04384555816650391,0.003928083215094209,100,20,2,sqrt,5,balanced,"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.8041294642857143,0.7725074404761905,0.7860863095238095,0.6625744047619049,0.8030133928571429,0.7656622023809525,0.052850614232092544,8
0.5826718807220459,0.025059381084384855,0.045934534072875975,0.010965219139407633,100,2,8,sqrt,7,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 7, 'class_weight': 'balanced'}",0.8091517857142857,0.755952380952381,0.7823660714285714,0.6651785714285714,0.8089657738095238,0.7643229166666666,0.053343855669726256,10
